Date,Open,High,Low,Close,Volume,AdjClose,Notes
5/17/16,70.699997,72.18,70.449997,71.050003,4841900,69.756323,none
5/16/16,70.389999,71.699997,70.099998,70.699997,4515900,69.41269,none
5/13/16,71.629997,71.779999,70.059998,70.07,6417200,68.794163,none
5/12/16,72.919998,73.239998,71.18,71.699997,4526500,70.394481,none
5/11/16,72.849998,73.610001,72.360001,72.43,4691900,71.111193,none
5/10/16,70.779999,72.709999,70.589996,72.510002,6507300,71.189738,none
5/9/16,72.330002,72.629997,70.57,70.779999,9405000,69.491235,none
5/6/16,72.160004,73.419998,71.620003,73.360001,6933000,72.02426,none
5/5/16,74.150002,74.599998,72.699997,72.790001,8071200,71.464639,none
5/4/16,76.18,76.309998,73.900002,74.239998,6938100,72.888234,none
5/3/16,76.849998,77.099998,75.580002,76.360001,4780900,74.969636,none
5/2/16,77.349998,78.07,76.620003,77.839996,3330100,76.422684,none
4/29/16,78.019997,79,77.32,77.720001,7702700,76.304873,none
4/28/16,78.029999,79.169998,77.599998,77.75,4844600,76.334326,none
4/27/16,77.980003,78.889999,77.599998,78.68,4459300,77.247393,none
4/26/16,77.150002,77.739998,76.470001,77.650002,6085900,76.236148,none
4/25/16,78.5,78.860001,76.199997,76.790001,8079800,75.391807,none
4/22/16,78.93,79.18,77.199997,78.32,10099600,76.893947,none
4/21/16,78.75,79.580002,78.190002,78.660004,6509100,77.22776,none
4/20/16,80.25,80.599998,79.300003,79.739998,5356800,77.532112,none
4/19/16,79.989998,80.889999,79.459999,80.389999,6283500,78.164116,none
4/18/16,78.470001,79.870003,78.139999,79.25,4821300,77.055681,none
4/15/16,79.379997,79.779999,78.730003,79.169998,5508500,76.977895,none
4/14/16,79.440002,79.720001,78.370003,79.050003,5372300,76.861222,none
4/13/16,76.870003,79.160004,76.559998,79.129997,9365700,76.939001,none
4/12/16,75.059998,76.739998,74.470001,76.099998,5129600,73.992899,none
4/11/16,74.610001,75.779999,74.610001,74.629997,3904800,72.5636,none
4/8/16,75.029999,75.25,74,74.349998,4911000,72.291354,none
4/7/16,74.489998,74.68,73.760002,74.169998,4800800,72.116338,none
4/6/16,75.519997,75.57,73.699997,75.220001,4929800,73.137267,none
4/5/16,75.32,75.849998,74.599998,75.239998,4386800,73.15671,none
4/4/16,76.559998,77.040001,75.419998,75.720001,4349500,73.623423,none
4/1/16,75.650002,76.870003,74.669998,76.790001,4878300,74.663796,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque sit amet lectus vel neque cursus tincidunt venenatis ultrices nulla. Praesent rutrum scelerisque pellentesque. Pellentesque nibh lorem."
3/31/16,76.300003,77.129997,76.239998,76.540001,4348700,74.420718,none
3/30/16,76.940002,77.25,76.010002,76.510002,4886800,74.39155,none
3/29/16,74.970001,76.050003,74.190002,76.010002,4085000,73.905394,none
3/28/16,75.150002,75.550003,74.459999,75.32,3425400,73.234497,none
3/24/16,72.93,75.349998,72.730003,75.290001,7036100,73.205329,none
3/23/16,74.970001,75.120003,73.57,73.68,5352900,71.639907,none
3/22/16,75.589996,76.080002,75.239998,75.550003,3625600,73.458132,none
3/21/16,75.529999,76.349998,75.040001,75.889999,4315700,73.788714,none
3/18/16,76.080002,76.940002,74.639999,75.470001,13750200,73.380345,none
3/17/16,74.199997,76.300003,73.519997,75.900002,13316000,73.79844,none
3/16/16,72.589996,74.510002,72.199997,74.339996,6641200,72.281629,none
3/15/16,71.440002,72.470001,70.860001,72.440002,4674400,70.434243,none
3/14/16,72.730003,73.440002,72.129997,72.730003,5060000,70.716214,none
3/11/16,72.360001,73.099998,72.279999,72.800003,4787000,70.784276,none
3/10/16,72.029999,72.029999,70.489998,71.360001,6352400,69.384145,none
3/9/16,72.330002,72.699997,71.260002,71.870003,4907900,69.880026,none
3/8/16,73.779999,74.110001,71.519997,71.730003,8748400,69.743903,none
